Entry	Gene names	Gene names  (synonym )	Protein names	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Entry name	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
J9VGH8	CNAG_03748		Large subunit ribosomal protein L19		CNAG_03748		J9VGH8_CRYNH	positive regulation of kinase activity [GO:0033674]; regulation of translation [GO:0006417]	ribosome [GO:0005840]	ribosome [GO:0005840]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]; ribosome binding [GO:0043022]; positive regulation of kinase activity [GO:0033674]; regulation of translation [GO:0006417]	protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]; ribosome binding [GO:0043022]	GO:0005840; GO:0006417; GO:0019887; GO:0019901; GO:0033674; GO:0043022
J9VYX9	CNAG_04178		Uncharacterized protein		CNAG_04178		J9VYX9_CRYNH					
J9VWQ4	CNAG_05826		ERF-3 (ERF2) (Eukaryotic peptide chain release factor GTP-binding subunit) (Polypeptide release factor 3) (Translation release factor 3)		CNAG_05826		J9VWQ4_CRYNH	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]		GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; translation release factor activity [GO:0003747]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]; translation release factor activity [GO:0003747]	GO:0000288; GO:0003746; GO:0003747; GO:0003924; GO:0005525
J9VLS5	CNAG_04044		U3 small nucleolar RNA-associated protein 6		CNAG_04044		J9VLS5_CRYNH	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]		snoRNA binding [GO:0030515]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	snoRNA binding [GO:0030515]	GO:0000462; GO:0030515
J9VW39	CNAG_06459		Vacuolar membrane protein		CNAG_06459		J9VW39_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VXZ6	CNAG_03360		Uncharacterized protein		CNAG_03360		J9VXZ6_CRYNH					
J9VEI1	CNAG_00275		NAD_binding_2 domain-containing protein		CNAG_00275		J9VEI1_CRYNH			NADP binding [GO:0050661]; oxidoreductase activity [GO:0016491]	NADP binding [GO:0050661]; oxidoreductase activity [GO:0016491]	GO:0016491; GO:0050661
J9VMU9	CNAG_06790		Uncharacterized protein		CNAG_06790		J9VMU9_CRYNH					
J9VVM5	CNAG_06273		Ribosome biogenesis regulatory protein		CNAG_06273		J9VVM5_CRYNH	ribosome biogenesis [GO:0042254]	nucleus [GO:0005634]	nucleus [GO:0005634]; ribosome biogenesis [GO:0042254]		GO:0005634; GO:0042254
J9VQM0	CNAG_02700		Uncharacterized protein		CNAG_02700		J9VQM0_CRYNH					
J9VH55	CNAG_00575		Catalase (EC 1.11.1.6)		CNAG_00575		J9VH55_CRYNH	hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]		catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0004096; GO:0006979; GO:0020037; GO:0042744; GO:0046872
J9VGL2	CNAG_00337		Uncharacterized protein		CNAG_00337		J9VGL2_CRYNH					
J9VGH0	CNAG_07346		T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta)		CNAG_07346		J9VGH0_CRYNH	protein folding [GO:0006457]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]	GO:0005524; GO:0005737; GO:0006457; GO:0016887; GO:0051082
J9VMS7	CNAG_07635		Kinetochore protein NDC80		CNAG_07635		J9VMS7_CRYNH	attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]	condensed chromosome kinetochore [GO:0000777]; Ndc80 complex [GO:0031262]	condensed chromosome kinetochore [GO:0000777]; Ndc80 complex [GO:0031262]; attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]		GO:0000777; GO:0031262; GO:0051301; GO:0051315
J9VPB3	CNAG_05149		Protoheme IX farnesyltransferase, mitochondrial (EC 2.5.1.-) (Heme O synthase)		CNAG_05149		J9VPB3_CRYNH	heme O biosynthetic process [GO:0048034]	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; protoheme IX farnesyltransferase activity [GO:0008495]; heme O biosynthetic process [GO:0048034]	protoheme IX farnesyltransferase activity [GO:0008495]	GO:0008495; GO:0016021; GO:0031966; GO:0048034
J9VLF2	CNAG_03894		Zn(2)-C6 fungal-type domain-containing protein		CNAG_03894		J9VLF2_CRYNH			DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	GO:0000981; GO:0008270
J9VWB7	CNAG_05673		GPI inositol-deacylase (EC 3.1.-.-)		CNAG_05673		J9VWB7_CRYNH	protein transport [GO:0015031]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; hydrolase activity, acting on ester bonds [GO:0016788]; protein transport [GO:0015031]	hydrolase activity, acting on ester bonds [GO:0016788]	GO:0005789; GO:0015031; GO:0016021; GO:0016788
J9VI82	CNAG_06896		Cytoplasmic protein		CNAG_06896		J9VI82_CRYNH			RNA binding [GO:0003723]	RNA binding [GO:0003723]	GO:0003723
J9VRY0	CNAG_07818		Uncharacterized protein		CNAG_07818		J9VRY0_CRYNH					
J9VZ17	CNAG_04233		LysM domain-containing protein		CNAG_04233		J9VZ17_CRYNH					
J9VS12	CNAG_04545		CTD kinase subunit gamma		CNAG_04545		J9VS12_CRYNH	positive regulation of DNA-templated transcription, elongation [GO:0032786]	CTDK-1 complex [GO:0070692]	CTDK-1 complex [GO:0070692]; kinase activity [GO:0016301]; positive regulation of DNA-templated transcription, elongation [GO:0032786]	kinase activity [GO:0016301]	GO:0016301; GO:0032786; GO:0070692
J9VK42	CNAG_06871		Zn(2)-C6 fungal-type domain-containing protein		CNAG_06871		J9VK42_CRYNH	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	GO:0000981; GO:0003677; GO:0006351; GO:0008270
J9VY70	CNAG_04641		General transcription factor 3C polypeptide 3 (Transcription factor C subunit 4)		CNAG_04641		J9VY70_CRYNH	transcription by RNA polymerase III [GO:0006383]		transcription by RNA polymerase III [GO:0006383]		GO:0006383
J9VI00	CNAG_07309		Protein DOM34 homolog (EC 3.1.-.-)		CNAG_07309		J9VI00_CRYNH	nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; RNA surveillance [GO:0071025]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; RNA surveillance [GO:0071025]	endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]	GO:0004519; GO:0005737; GO:0046872; GO:0070481; GO:0070966; GO:0071025
J9VHP6	CNAG_02760		GRIP domain-containing protein		CNAG_02760		J9VHP6_CRYNH					
J9VQJ1	CNAG_02740		Uncharacterized protein		CNAG_02740		J9VQJ1_CRYNH	tRNA processing [GO:0008033]		catalytic activity [GO:0003824]; tRNA processing [GO:0008033]	catalytic activity [GO:0003824]	GO:0003824; GO:0008033
J9VMA2	CNAG_02218		Uncharacterized protein		CNAG_02218		J9VMA2_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]; histone binding [GO:0042393]; protein heterodimerization activity [GO:0046982]	histone binding [GO:0042393]; protein heterodimerization activity [GO:0046982]	GO:0005634; GO:0042393; GO:0046982
J9VV17	CNAG_07637		Large subunit ribosomal protein L3		CNAG_07637		J9VV17_CRYNH	translation [GO:0006412]	ribosome [GO:0005840]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412
J9VMM0	CNAG_01448		Uncharacterized protein		CNAG_01448		J9VMM0_CRYNH					
J9VRR2	CNAG_02519		Mitochondrial fission 1 protein		CNAG_02519		J9VRR2_CRYNH	mitochondrial fission [GO:0000266]	integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]	integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; mitochondrial fission [GO:0000266]		GO:0000266; GO:0005741; GO:0016021
J9VIL0	CNAG_02658		Uncharacterized protein		CNAG_02658		J9VIL0_CRYNH	regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]		protein kinase binding [GO:0019901]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	protein kinase binding [GO:0019901]	GO:0000079; GO:0019901
T2BQE9	CNAG_00549		Uncharacterized protein		CNAG_00549		T2BQE9_CRYNH					
J9VRI6	CNAG_00901		Pex24p domain-containing protein		CNAG_00901		J9VRI6_CRYNH		peroxisomal membrane [GO:0005778]	peroxisomal membrane [GO:0005778]		GO:0005778
J9VLH4	CNAG_00402		Translation initiation factor 4G		CNAG_00402		J9VLH4_CRYNH			translation initiation factor activity [GO:0003743]	translation initiation factor activity [GO:0003743]	GO:0003743
J9W330	CNAG_06337		Uncharacterized protein		CNAG_06337		J9W330_CRYNH					
J9VE53	CNAG_00455		Ubiquitin carboxyl-terminal hydrolase Ubp16		CNAG_00455		J9VE53_CRYNH	protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]		thiol-dependent deubiquitinase [GO:0004843]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	thiol-dependent deubiquitinase [GO:0004843]	GO:0004843; GO:0006511; GO:0016579
J9VE48	CNAG_00450		3-isopropylmalate dehydrogenase (EC 1.1.1.85)		CNAG_00450		J9VE48_CRYNH	branched-chain amino acid biosynthetic process [GO:0009082]; leucine biosynthetic process [GO:0009098]		3-isopropylmalate dehydrogenase activity [GO:0003862]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; branched-chain amino acid biosynthetic process [GO:0009082]; leucine biosynthetic process [GO:0009098]	3-isopropylmalate dehydrogenase activity [GO:0003862]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]	GO:0000287; GO:0003862; GO:0009082; GO:0009098; GO:0051287
J9VV82	CNAG_03273		Transcription initiation factor TFIID subunit 2		CNAG_03273		J9VV82_CRYNH		transcription factor TFIID complex [GO:0005669]	transcription factor TFIID complex [GO:0005669]; translation initiation factor activity [GO:0003743]	translation initiation factor activity [GO:0003743]	GO:0003743; GO:0005669
J9VH18	CNAG_00539		Membrane transporter		CNAG_00539		J9VH18_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VG75	CNAG_03625		RNA polymerase I-specific transcription initiation factor RRN7		CNAG_03625		J9VG75_CRYNH		RNA polymerase I core factor complex [GO:0070860]	RNA polymerase I core factor complex [GO:0070860]; metal ion binding [GO:0046872]; RNA polymerase I core promoter sequence-specific DNA binding [GO:0001164]; translation initiation factor activity [GO:0003743]	metal ion binding [GO:0046872]; RNA polymerase I core promoter sequence-specific DNA binding [GO:0001164]; translation initiation factor activity [GO:0003743]	GO:0001164; GO:0003743; GO:0046872; GO:0070860
J9VVW9	CNAG_04666		26S protease regulatory subunit 8		CNAG_04666		J9VVW9_CRYNH	protein catabolic process [GO:0030163]	cytoplasm [GO:0005737]; proteasome complex [GO:0000502]	cytoplasm [GO:0005737]; proteasome complex [GO:0000502]; ATP binding [GO:0005524]; peptidase activity [GO:0008233]; proteasome-activating ATPase activity [GO:0036402]; protein catabolic process [GO:0030163]	ATP binding [GO:0005524]; peptidase activity [GO:0008233]; proteasome-activating ATPase activity [GO:0036402]	GO:0000502; GO:0005524; GO:0005737; GO:0008233; GO:0030163; GO:0036402
J9VR15	CNAG_03488		Uncharacterized protein		CNAG_03488		J9VR15_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VWY3	CNAG_04403		CCCH zinc finger protein		CNAG_04403		J9VWY3_CRYNH			metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0046872
T2BN62	CNAG_04226		U4/U6.U5 tri-snRNP-associated protein 1, variant		CNAG_04226		T2BN62_CRYNH	mRNA splicing, via spliceosome [GO:0000398]	nucleus [GO:0005634]	nucleus [GO:0005634]; mRNA splicing, via spliceosome [GO:0000398]		GO:0000398; GO:0005634
J9VQ72	CNAG_03399		SIT4-associating protein/190		CNAG_03399		J9VQ72_CRYNH	regulation of phosphoprotein phosphatase activity [GO:0043666]		protein phosphatase binding [GO:0019903]; regulation of phosphoprotein phosphatase activity [GO:0043666]	protein phosphatase binding [GO:0019903]	GO:0019903; GO:0043666
J9VGM5	CNAG_03791		CAMKK/ELM protein kinase		CNAG_03791		J9VGM5_CRYNH			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
T2BQH4	CNAG_00523		Uncharacterized protein		CNAG_00523		T2BQH4_CRYNH					
J9VU32	CNAG_05805		Uncharacterized protein		CNAG_05805		J9VU32_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]		GO:0005634
J9VUJ2	CNAG_01694		Uncharacterized protein		CNAG_01694		J9VUJ2_CRYNH					
J9W346	CNAG_06362		Phorbol-ester/DAG-type domain-containing protein		CNAG_06362		J9W346_CRYNH	intracellular signal transduction [GO:0035556]		intracellular signal transduction [GO:0035556]		GO:0035556
J9VK78	CNAG_01275		Beta_helix domain-containing protein		CNAG_01275		J9VK78_CRYNH					
J9VFS2	CNAG_03712		Uncharacterized protein		CNAG_03712		J9VFS2_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; chloride channel activity [GO:0005254]	chloride channel activity [GO:0005254]	GO:0005254; GO:0016021
J9VG70	CNAG_03620		Uncharacterized protein		CNAG_03620		J9VG70_CRYNH	DNA repair [GO:0006281]		DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	GO:0000981; GO:0006281; GO:0008270
J9VVE6	CNAG_03364		Uncharacterized protein		CNAG_03364		J9VVE6_CRYNH	mitochondrial respiratory chain complex I assembly [GO:0032981]	membrane [GO:0016020]	membrane [GO:0016020]; mitochondrial respiratory chain complex I assembly [GO:0032981]		GO:0016020; GO:0032981
J9VQY7	CNAG_01132		Nucleolar protein 6		CNAG_01132		J9VQY7_CRYNH			RNA binding [GO:0003723]	RNA binding [GO:0003723]	GO:0003723
J9VVI6	CNAG_03406		Compass component spp1		CNAG_03406		J9VVI6_CRYNH		Set1C/COMPASS complex [GO:0048188]	Set1C/COMPASS complex [GO:0048188]; metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0046872; GO:0048188
T2BQ34	CNAG_05472		Meiotic recombination protein SPO11, variant 1		CNAG_05472		T2BQ34_CRYNH		chromosome [GO:0005694]	chromosome [GO:0005694]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; endodeoxyribonuclease activity, producing 3'-phosphomonoesters [GO:0016889]; metal ion binding [GO:0046872]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; endodeoxyribonuclease activity, producing 3'-phosphomonoesters [GO:0016889]; metal ion binding [GO:0046872]	GO:0003677; GO:0005524; GO:0005694; GO:0016889; GO:0046872
T2BP26	CNAG_00183		Alternative cyclin Pcl12, variant		CNAG_00183		T2BP26_CRYNH					
J9VQP5	CNAG_01242		BZIP domain-containing protein		CNAG_01242		J9VQP5_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]	GO:0003700; GO:0005634
J9VSZ8	CNAG_07857		WW domain-containing protein		CNAG_07857		J9VSZ8_CRYNH					
J9VJC7	CNAG_05064		Uncharacterized protein		CNAG_05064		J9VJC7_CRYNH					
J9VR91	CNAG_03570		Uncharacterized protein		CNAG_03570		J9VR91_CRYNH					
J9VZV8	CNAG_04913		Syntaxin 5		CNAG_04913		J9VZV8_CRYNH	vesicle-mediated transport [GO:0016192]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; vesicle-mediated transport [GO:0016192]		GO:0016021; GO:0016192
J9VSQ1	CNAG_04755		STE/STE11/BCK1 protein kinase		CNAG_04755		J9VSQ1_CRYNH			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
J9VX71	CNAG_01779		Uncharacterized protein		CNAG_01779		J9VX71_CRYNH					
J9W2R8	CNAG_07911		Streptomycin biosynthesis protein StrI		CNAG_07911		J9W2R8_CRYNH			nucleotide binding [GO:0000166]	nucleotide binding [GO:0000166]	GO:0000166
J9VF01	CNAG_00531		Potassium/sodium efflux P-type ATPase, fungal-type		CNAG_00531		J9VF01_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]	GO:0005524; GO:0016021; GO:0016887
J9VPF0	CNAG_05194		Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)		CNAG_05194		J9VPF0_CRYNH	protein lipoylation [GO:0009249]	mitochondrion [GO:0005739]	mitochondrion [GO:0005739]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]; protein lipoylation [GO:0009249]	4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]	GO:0005739; GO:0009249; GO:0016992; GO:0046872; GO:0051539; GO:0102552; GO:0102553
J9VMH6	CNAG_00745		HAL protein kinase		CNAG_00745		J9VMH6_CRYNH			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
J9VUJ7	CNAG_01947		2,4-dienoyl-CoA reductase		CNAG_01947		J9VUJ7_CRYNH			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
J9VI41	CNAG_02829		Protein arginine N-methyltransferase		CNAG_02829		J9VI41_CRYNH			protein-arginine N-methyltransferase activity [GO:0016274]	protein-arginine N-methyltransferase activity [GO:0016274]	GO:0016274
J9VKN7	CNAG_07312		Uncharacterized protein		CNAG_07312		J9VKN7_CRYNH					
J9VVT6	CNAG_06142		DNA polymerase alpha subunit B		CNAG_06142		J9VVT6_CRYNH	DNA replication [GO:0006260]	nucleus [GO:0005634]	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA replication [GO:0006260]	DNA binding [GO:0003677]	GO:0003677; GO:0005634; GO:0006260
J9VF55	CNAG_00588		Ricin B-type lectin domain-containing protein		CNAG_00588		J9VF55_CRYNH					
J9VRE5	CNAG_04107		Uncharacterized protein		CNAG_04107		J9VRE5_CRYNH					
J9VNE3	CNAG_06690		Uncharacterized protein		CNAG_06690		J9VNE3_CRYNH					
J9VLP3	CNAG_00969		Uncharacterized protein		CNAG_00969		J9VLP3_CRYNH					
